id	word	other-1	other-2	other-3	pos	morphology	number	code	definitions
1	A				N	9 8 M N		X X X C G	Aulus (Roman praenomen); (abb. A./Au.); [Absolvo, Antiquo => free, reject];
2	a				N	9 8 M T		X X X D G	year; abb. ann./a.; [regnavit a(nnis). XLIIII => he reigned for 44 years];
3	a				PREP	ABL		X X X A O	by (agent), from (departure, cause, remote origin/time); after (reference);
4	a				PREP	ACC		X X X C O	ante, abb. a.; [in calendar expression a. d. = ante diem => before the day];
5	a				INTERJ			X X X B O	Ah!; (distress/regret/pity, appeal/entreaty, surprise/joy, objection/contempt);
6	ab				PREP	ABL		X X X A O	by (agent), from (departure, cause, remote origin/time); after (reference);
7	abac	abac			N	2 1 M T		E E X C E	small table for cruets, credence, shelf/niche near altar for Eucharist; buffet;
8	abac	abac			N	2 1 M T		X X X C O	|counting-board; side-board; slab table; panel; square stone on top of column;
9	abact	abact			N	4 1 M T		X A X E O	cattle thieving, stealing of cattle, rustling;
10	abact	abact			ADJ	1 1 POS		X X X E S	driven away/off/back; forced to resign (office); restrained by; passed (night);
11	abacti	abacti			ADJ	1 1 POS		X A X E O	stolen/rustled (of cattle);
12	abactor	abactor			N	3 1 M P		X A X E O	cattle thief, rustler; one who drives off;
13	abacul	abacul			N	2 1 M T		E T X F S	tessera/small cube of colored glass for ornamental pavements/wall mosaics;
14	abaestu	abaestu	abaestuav	abaestuat	V	1 1 INTRANS		D X X F S	wave down; hang down richly (poet.);
15	abagment	abagment			N	2 2 N T		D B X F S	means for obtaining abortion?;
16	abalien	abalien	abalienav	abalienat	V	1 1 TRANS		X X X B S	make alien; separate, abstract; alienate, estrange, make disaffected;
17	abalien	abalien	abalienav	abalienat	V	1 1 TRANS		X X X B O	|transfer (sale/contract); remove, take away, dispose of; numb/deaden;
18	abalienat	abalienat			ADJ	1 1 POS		X X X D O	unfriendly, estranged; dead/mortified (medical, of tissues);
19	abalienatio	abalienation			N	3 1 F T		X L X D O	transfer of property (legal), sale; cession; alienation;
20	abambul	abambul	abambulav	abambulat	V	1 1 INTRANS		X X X F O	go away;
21	abamit	abamit			N	1 1 F P		X X X E O	great-great-great aunt; (sister of abavus/gt-gt-grandfather); female ancestor;
22	abante				ADV	POS		X X X I O	in front (of); before;
23	abante				PREP	ABL		X X X E S	from before/in front of;
24	abarc	abarc	zzz	zzz	V	2 1 TRANS		X X X E O	keep away;
25	abascant	abascant			ADJ	1 1 POS		X X X F S	unenvied?;
26	abav	abav			N	2 1 M P		X X X C O	ancestor, forefather; great-great grandfather, grandfather's grandfather;
27	abavi	abavi			N	1 1 F P		X X X E O	ancestress; great-great grandmother;
28	abavuncul	abavuncul			N	2 1 M P		X X X E O	great-great-great-great uncle; remote ancestor;
29	abax	abac			N	3 1 M T		D X X F S	counting-board; side-board; slab table; panel; square stone on top of column;
30	Abba				N	9 9 M N		E E Q E E	Father; (Aramaic); bishop of Syriac/Coptic church; (false read obba/decanter);
31	abbas	abbat			N	3 1 M P		E E X C E	abbot; head of an ecclesiastical community; father; any respected monk (early);
32	abbati	abbati			N	1 1 F T		E E X C E	abbey, monastery;
33	abbatial	abbatial			ADJ	3 2 POS		E E X C E	of/pertaining to an abbot/abbey; abbey derived;
34	abbatiss	abbatiss			N	1 1 F P		E E X C E	abbess;
35	abbatiz	abbatiz	zzz	zzz	V	1 1 INTRANS		F E X F M	be abbot;
